location_id,ville,temperature,humidity,pression,weather,temperature_max,temperature_min,temperature_feel,wind_speed,rain_day,cloud_rate,timestamp
0,Paris,25.38,29,1026,Clear,26.32,24.88,24.73,4.12,0,0,2025-07-03 21:20:27
1,London,23.37,35,1026,Clouds,24.32,22.81,22.68,3.09,0,63,2025-07-03 21:20:28
2,Rome,24.37,61,1011,Clouds,24.82,23.7,24.46,3.09,0,75,2025-07-03 21:20:29
3,Oslo,18.19,49,1015,Clouds,18.47,15.86,17.34,0.89,0,51,2025-07-03 21:20:29
4,Moscow,23.7,57,1012,Clouds,25.29,23.24,23.61,2.45,0,54,2025-07-03 21:20:30
5,New York,32.18,40,1009,Clouds,33.49,30.98,32.54,5.66,0,20,2025-07-03 21:20:31
6,Montreal,21.28,70,1008,Clouds,22.46,20.24,21.29,4.12,0,75,2025-07-03 21:20:32
7,Mexico,24.84,95,1009,Clouds,24.84,24.84,25.86,0.95,0,100,2025-07-03 21:20:33
8,Ṣo Paulo,13.1,89,1028,Clouds,13.94,12.47,12.79,4.02,0,100,2025-07-03 21:20:34
9,Lima,19.14,73,1013,Haze,19.14,19.14,19.02,3.09,0,75,2025-07-03 21:20:34
10,Johannesburg,11.97,64,1018,Clouds,12.86,11.14,10.89,0.51,0,37,2025-07-03 21:20:35
11,Cairo,34.42,38,1008,Clear,34.42,34.12,35.63,4.63,0,0,2025-07-03 21:20:36
12,Antananarivo,11.98,100,1026,Clouds,11.98,11.98,11.84,2.57,0,75,2025-07-03 21:20:37
13,Tokyo,26.2,79,1011,Clouds,26.47,24.88,26.2,4.12,0,20,2025-07-03 21:20:37
14,Shanghai,27.92,74,1006,Clear,27.92,27.92,31.04,7.0,0,0,2025-07-03 21:20:38
15,Dubai,32.96,75,995,Clear,34.14,32.96,39.96,3.09,0,9,2025-07-03 21:20:39
16,Sydney,11.77,71,1016,Clouds,12.62,8.52,10.86,5.66,0,100,2025-07-03 21:20:40
