location_id,city,temperature,humidity,pressure,weather,temperature_max,temperature_min,apparent_temperature,wind_speed,rain,snow,precipitation,cloud_cover,time
0,Paris,27.54,27,1018,Rain,28.93,26.1,26.65,14.832,0.25,0,0.25,0,2025-07-05 18:00:00
1,London,20.83,74,1013,Clouds,21.98,20.31,20.9,24.084000000000003,0.0,0,0.0,75,2025-07-05 18:00:00
2,Rome,24.61,63,1021,Clouds,25.94,24.5,24.77,6.8759999999999994,0.0,0,0.0,100,2025-07-05 18:00:00
3,Oslo,16.09,85,998,Rain,16.81,16.09,15.97,6.444,0.32,0,0.32,100,2025-07-05 18:00:00
4,Moscow,21.87,34,1013,Clear,22.04,19.29,21.0,20.448,0.0,0,0.0,8,2025-07-05 18:00:00
5,New York,26.67,46,1021,Clear,27.9,25.53,26.91,8.064000000000002,0.0,0,0.0,0,2025-07-05 18:00:00
6,Montreal,23.27,55,1019,Clouds,24.12,22.52,23.09,16.668,0.0,0,0.0,100,2025-07-05 18:00:00
7,Mexico,25.84,91,1009,Clouds,25.84,25.84,26.86,6.8759999999999994,0.0,0,0.0,100,2025-07-05 18:00:00
8,Ṣo Paulo,19.1,57,1026,Clear,19.69,18.75,18.55,7.416,0.0,0,0.0,0,2025-07-05 18:00:00
9,Lima,18.83,85,1019,Clouds,18.83,17.14,18.99,14.832,0.0,0,0.0,100,2025-07-05 18:00:00
10,Johannesburg,15.08,33,1019,Clear,16.06,13.75,13.51,10.08,0.0,0,0.0,0,2025-07-05 18:00:00
11,Cairo,35.42,26,1009,Clear,35.42,35.23,34.46,25.92,0.0,0,0.0,0,2025-07-05 18:00:00
12,Antananarivo,13.98,88,1024,Clouds,13.98,13.98,13.73,14.832,0.0,0,0.0,40,2025-07-05 18:00:00
13,Tokyo,28.16,77,1004,Clouds,28.69,26.99,32.02,5.5440000000000005,0.0,0,0.0,75,2025-07-05 18:00:00
14,Shanghai,29.92,74,1005,Clear,29.92,29.92,35.83,21.6,0.0,0,0.0,0,2025-07-05 18:00:00
15,Dubai,33.96,66,994,Clear,35.14,33.96,40.96,14.832,0.0,0,0.0,0,2025-07-05 18:00:00
16,Sydney,12.18,84,1020,Clouds,13.61,10.75,11.65,9.251999999999999,0.0,0,0.0,100,2025-07-05 18:00:00
